ID,F2,F3,F4,F8,F11,F25,F39,F52,F53,F54,F55,F69,F72,F73,F74,F75,F76,F77,F78,F79,F81,F82,F83,F84,F85,F86,F92,F93,F94,F95,F98,F99,F109,F110,F116,F121,F122,F123,F124,F125,F126,F127,F128,F129,F130,F131,F132,F133,F136,F139,COVID_TCPM
12062,0,1,1,Temperate Broadleaf and Mixed Forests,"Mild temperate, fully humid, and  Hot summer",113634.3168,0.392898545,,,,,62.43213961,,,,,2939.390234,3505.482443,3621.970752,3515.400834,,,,,,,,,,,17.66573606,18.26802347,1.008449023,1.052684361,23,66642.88656,91763.99332,100642.9892,109757.3912,0,0,0,0,0,0,0,0,0,available,0.230202905,low
9916,0,1,1,Tropical and Subtropical Moist Broadleaf Forests,Tropical savannah with dry winter,90783.41174,0.61289851,,,,,188.3065165,,,,,8434.791479,11510.84021,12137.5288,14146.05443,,,,,,,,,,,44.78063567,52.18813698,13.21827348,15.83988376,38,54178.3633,72993.97696,84620.05072,90783.41174,0,0,0,0,0,0,0,0,0,available,0.943932176,low
2868,0,1,1,Temperate Broadleaf and Mixed Forests,"Mild temperate, fully humid, and  Hot summer",81563.65131,0.413151322,14818.61907,81684.15546,267554.8454,229032.2557,44.18781283,8.993444643,11.72293534,1469.994803,9842.871444,338.5288868,329.2402757,652.3979003,1793.879929,594.4218826,1239.383262,68.31088083,,,,0.278890204,0.883094494,2.298976443,2.100790126,2.038308551,4.614042239,3.844699498,3.751287669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.150801501,high
9154,0,0,1,Tropical and Subtropical Dry Broadleaf Forests,"Mild temperate with dry winter, and  Hot summer",70289.30786,0.503657626,,,,,21.56780421,,,,,3789.977705,4823.028738,5498.893098,6355.823214,3811.642126,5200.763661,5138.948017,,,,,,,,21.44281429,24.95757773,4.139985084,4.52207053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.636236036,low
4763,0,1,1,Montane Grasslands and Shrublands,"Mild temperate with dry winter, and  Warm summer",113467.1406,0.383144372,,,,,0.078181568,,,,,59.45767418,87.28947696,110.696241,145.3296541,,,,,,,,,,,0.40988643,0.538657119,0.239238004,0.428406678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.232183184,low
3953,0,0,0,"Tropical and subtropical grasslands, savannas, and shrublands","Mild temperate with dry winter, and  Hot summer",313758.2707,0.458616496,,,,,,,,,,2464.853446,4052.615666,4738.007349,6297.50066,,,,,,,,,,,18.11313199,24.04944392,0.133848643,0.150213089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.252415851,low
789,0,0,0,Tropical and Subtropical Dry Broadleaf Forests,Tropical savannah with dry winter,62411.24536,0.440704946,,,,,12.10720562,,,,,1322.3266,1265.959408,1010.461454,1046.82065,450.8828747,1348.461851,1249.384532,,,,,,,,4.378762718,4.672491069,5.422890669,4.328132253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.251722216,high
12417,1,1,1,Tropical and Subtropical Moist Broadleaf Forests,"Mild temperate, fully humid, and  Hot summer",187014.2324,0.45820208,,,,,58.07254584,,,,,21923.69522,26146.00822,32576.01732,31633.84765,,,,,,,,,,,157.1036565,161.1057451,1.373307942,1.687248392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.420389267,low
5470,0,1,1,Deserts and Xeric Shrublands,"Desert (arid), and  Hot arid",286369.9874,0.140136876,,,,,119.7607301,,,,,2.115846688,27.3289626,10.62024678,10.61137148,,,,,,,,,,,0.14251557,0.184193598,10.7185662,5.607841279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.001323209,high
5328,0,1,1,Montane Grasslands and Shrublands,"Mild temperate with dry winter, and  Hot summer",90456.35791,0.428892682,,,,,0.039846855,,,,,702.1598605,1030.832574,1310.527723,1709.784719,,,,,,,,,,,4.852634118,6.337245058,0.246665719,0.424687386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.096404788,low
677,1,1,1,"Temperate Grasslands, Savannas, and Shrublands","Snow, fully humid, and  Hot summer",119893.9086,0.488751182,43634.27506,75398.28253,95429.99481,77865.40697,0.748387278,9.774482788,116.3898717,1223.644475,8288.034053,11254.79827,12854.81799,11068.81857,11216.19718,9562.28028,22380.66991,15559.51989,,,429.2977602,40.30725558,11.45946854,12.9033003,9.051282682,50.46225801,46.38231986,0.244732417,0.182250086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.399688559,high
5526,0,0,1,Deserts and Xeric Shrublands,"Desert (arid), and  Hot arid",77057.69263,0.092164825,,,,,2.600801163,,,,,0.341927959,4.416447421,1.71381599,1.700723096,,,,,,,,,,,0.022995865,0.029518283,0.005746262,0.008680515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0,high
2886,1,1,1,Temperate Broadleaf and Mixed Forests,"Mild temperate, fully humid, and  Warm summer",142248.7882,0.438132157,164046.2027,225210.0074,245602.7993,451168.6081,19.46331742,,,1156.695005,55360.38537,11247.46936,17187.57182,15021.24389,23486.83834,,3640.051066,15725.98346,,,496.0409605,176.9475977,169.0359139,49.25324848,100.7404377,111.6529488,108.4453627,3.779033084,4.628185057,4,5481.168915,5376.837738,5229.036682,5301.547852,0,0,0,0,0,0,0,0,0,available,0.310197255,high
11164,1,1,1,Temperate Broadleaf and Mixed Forests,"Mild temperate, fully humid, and  Hot summer",105958.3937,0.358941101,,,,,41.46703475,,,,,13928.02479,16610.438,20681.02439,20071.50924,,,,,,,,,,,99.86342549,102.3471241,1.995720172,2.257485239,10,35529.70471,40726.18506,41310.46765,36928.48779,0,0,0,0,0,0,0,0,0,available,0.141781443,low
3582,0,1,1,"Tropical and subtropical grasslands, savannas, and shrublands","Mild temperate with dry winter, and  Hot summer",75028.83594,0.470333683,,,,,,,,,,187.0406875,307.5251042,366.9427278,483.617174,,,,,,,,,,,1.402801423,1.846880588,0.065952169,0.072081345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.277122134,low
2989,1,1,1,Temperate Broadleaf and Mixed Forests,"Mild temperate, fully humid, and  Warm summer",60477.54413,0.473654776,326.3337354,1277.502167,1848.928731,586.1889389,19.34471285,,,5.338507961,4.778503317,3256.087003,4975.714644,4544.086092,7181.369314,,668.0810623,2874.840477,,,157.8152506,0.00394944,0.014872114,0.020922252,0.006670775,34.0013629,32.87994844,3.019919254,3.932859166,15,37168.7027,36932.23438,36288.3064,35302.48865,0,0,0,0,0,0,0,0,0,available,0.42575476,high
1665,0,1,1,"Mediterranean Forests, Woodlands, and Scrub","Mild temperate with dry summer, and  Hot summer",119626.5858,0.37550041,,,,,3.09640065,,,,,470.7128782,2286.255025,2418.165211,3105.488798,713.8956266,457.3540967,599.7413574,,,66.70836904,,,,,7.139159139,8.396226843,0.207464935,0.226030315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.139494283,high
8983,1,1,1,Tropical and Subtropical Dry Broadleaf Forests,Tropical savannah with dry winter,150136.5009,0.460041934,,,,,20.71684923,,,,,1636.108378,2082.07558,2251.052178,2623.888362,,,,,,,,,,,8.755046426,10.26864356,3.845013655,4.195078664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.286046219,low
3527,1,1,1,Temperate Broadleaf and Mixed Forests,"Snow, fully humid, and  Warm summer",127804.4628,0.481045892,24007.53067,108179.2949,61570.7567,,825.3347709,,,,,2499.083785,1348.774096,1138.39415,4301.989203,,443.7416082,7659.202555,,,,0.255195834,1.149929378,0.655135658,,29.53853631,24.94961699,2.636355983,1.683182131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.419610355,high
13041,1,1,1,Temperate Broadleaf and Mixed Forests,"Mild temperate, fully humid, and  Hot summer",107633.7789,0.477668605,481.6977257,642.0645716,838.3710594,17.64526429,3.619699313,57.69272853,361.365524,322.2093684,1.285143671,8715.449803,8451.846602,9267.438676,6887.897223,2968.558183,6806.045475,9479.643796,,,,0.270749759,0.326959202,0.206820222,0.001408568,35.29060255,26.46602207,0.128171044,0.167971234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,preliminary,0.434592837,high
522,0,1,1,Deserts and Xeric Shrublands,"Desert (arid), and  Hot arid",65737.55127,0.181541526,16.17704932,37.11314987,58.31371688,13.75318728,1.781313126,,,,0.089540005,900.5364336,776.244185,630.4842344,790.0957064,1.481146303,7.041280654,7.633906742,,,,0.001976256,0.00450131,0.006906569,0.001633639,2.363210026,2.928294006,0.078453772,0.115758989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0,high
12709,2,1,1,Tropical and Subtropical Moist Broadleaf Forests,Tropical savannah with dry winter,2413647.699,0.321699336,2501859.045,3324554.372,4014971.293,9035836.69,537.590854,,,,621296.5379,,,35.18790794,,,7581.843166,32069.49452,,,,292.5180296,380.2260245,434.8629206,2265.814658,81.9993474,89.07503328,36.55623336,31.62138953,0,0,0,0,0,453,188.6738586,188.6738586,196.0433044,197.9211578,1823601.966,2245139.166,2373683.903,2413647.699,available,0.089135989,low
7008,0,0,0,Tropical and Subtropical Moist Broadleaf Forests,"Mild temperate with dry winter, and  Hot summer",96463.11627,0.388283426,,,,,89.65169687,,,,,5397.342089,6868.524292,7666.254718,8823.550735,1775.361062,2792.380648,3812.627537,,,,,,,,29.84651616,34.59340935,11.72515658,14.85790417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.113299888,low
1638,1,1,1,"Mediterranean Forests, Woodlands, and Scrub","Mild temperate with dry summer, and  Hot summer",64826.56769,0.271283856,,,,14.12442753,305.8050945,,,,1.134160555,874.7364483,4248.58835,4221.579512,5286.386841,6734.107893,3709.876533,4528.323086,,,57.26775439,,,,0.000329936,12.37524199,14.33687541,0.960648052,0.801077464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.057171784,high
13068,0,0,1,Tropical and Subtropical Moist Broadleaf Forests,Tropical rain forest,186848.4071,0.365573821,,,,,0.277322243,,,,,2853.477667,3695.013049,5011.542957,5813.428056,81.0480065,582.9927701,563.2221504,,,,,,,,18.7439449,21.77294819,0.081458841,0.073874153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.221888603,low
813,1,1,1,Tropical and Subtropical Moist Broadleaf Forests,Tropical monsoon,162131.5004,0.476432784,99.20891161,109.7531659,199.7927715,217.8365691,31.44523533,,,,,4595.062545,4399.184673,3520.009241,3634.367263,2626.869701,7913.74193,6726.251426,,,,0.011850183,0.012811336,0.023424961,0.025538225,16.16993145,17.47327375,9.514311778,7.695548468,0,0,0,0,0,30,6.336556435,9.044445038,11.37682533,12.42088699,83801.48151,156219.7949,171403.4016,162131.5004,available,0.390248753,high
9270,1,1,1,Tropical and Subtropical Dry Broadleaf Forests,"Mild temperate with dry winter, and  Hot summer",146900.6582,0.638355315,,,,,4.444465852,,,,,230.8809545,293.8135817,342.1967013,399.0427201,,,,,,,,,,,1.330910363,1.561665247,0.575547493,0.645721645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,1.00000001,low
1897,1,1,1,Temperate Broadleaf and Mixed Forests,"Mild temperate, fully humid, and  Warm summer",585031.4041,0.395904971,12993.62387,3970.681572,5844.606814,10156.13269,548.3311538,17.89281019,,32.71476558,137.8302075,187125.6382,208289.493,178199.1484,175945.2763,74172.72608,77607.34852,45222.24284,,,2805.709785,1.2311269,0.504639811,0.392966422,0.773535143,522.8128837,466.6273135,2.248844963,1.795072913,60,160553.9345,169689.126,178450.3407,199126.0109,0,0,0,0,0,0,0,0,0,available,0.109005303,high
7901,0,1,1,Tropical and Subtropical Moist Broadleaf Forests,"Mild temperate with dry winter, and  Hot summer",58691.04688,0.472776979,,,,,6.23831361,,,,,196.4353051,249.9784335,280.6651888,325.6821441,,,19.88359665,,,,,,,,1.091590714,1.274891643,0.737064013,0.849631542,1,46209.03125,84162.17969,84412.08594,58691.04688,0,0,0,0,0,0,0,0,0,available,0.444259249,low
7442,0,0,0,"Tropical and subtropical grasslands, savannas, and shrublands","Mild temperate with dry winter, and  Hot summer",64567.33545,0.476117195,,,,,18.79092052,,,,,628.0648485,799.2600479,868.5260699,1012.830618,,,,,,,,,,,3.377952816,3.963729307,2.303893308,2.714490732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.233984876,low
11192,1,1,1,Temperate Broadleaf and Mixed Forests,"Mild temperate with dry winter, and  Hot summer",115757.6822,0.363840721,,4703.555071,12203.25392,38867.85241,82.68455759,,,,,15146.27008,18063.28742,19161.19575,18604.62496,,,,,,,,9.231320501,9.130955398,9.489694796,93.20459828,95.9057573,2.225414803,2.967029503,45,81734.31209,96937.08924,111310.9041,115757.6822,0,0,0,0,0,0,0,0,0,available,0.11146018,low
479,1,1,1,Tropical and Subtropical Moist Broadleaf Forests,"Mild temperate with dry summer, and  Warm summer",143426.1857,0.251516679,,,,,6.152944053,,,,,2089.675351,1333.280981,937.8953493,726.8226684,402.357298,468.2423818,378.0415608,,,,,,,,3.535063955,2.790567472,1.095863619,1.398071021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.012579539,high
1755,1,1,1,Temperate Broadleaf and Mixed Forests,"Mild temperate, fully humid, and  Warm summer",214435.6584,0.403254376,,,,,14.22178222,,,,,44.85505272,1197.835923,1118.279211,2288.095754,595.7235901,2085.985537,2917.142815,,,,,,,,20.96586802,13.48787299,0.585249053,0.484829598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.219049015,high
2497,0,1,1,"Mediterranean Forests, Woodlands, and Scrub","Steppe (semi-arid), and  Cold arid",79978.26416,0.191108007,,,,,,,,,,3.348393938,5.261753431,29.76190929,8.954151982,,,,,,,,,,,0.152390211,0.105097281,0.003972001,0.005344757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.00409744,low
1181,0,1,1,Tropical and Subtropical Moist Broadleaf Forests,Tropical savannah with dry winter,142109.0968,0.340812767,,,,,7.130678358,,,,,4824.819272,2350.720228,2138.264154,2432.123533,83.67698434,870.7852565,2094.800308,7.641917744,325.7622714,412.1286567,,,,,8.131407259,9.247847983,1.197184227,1.535750803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.059792556,high
4517,1,1,1,Temperate Broadleaf and Mixed Forests,"Steppe (semi-arid), and  Cold arid;Snow with dry summer, and  Hot summer",85475.25903,0.290258717,320.8762267,1190.078194,2217.665785,2978.587586,5.090253847,,,,,2996.321421,3007.517553,2621.733583,1435.073505,,,,,,,0.187071669,0.23713118,0.168332914,0.468971401,12.73261019,14.46783481,1.208674003,1.342229289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.002710887,high
5778,0,1,1,Deserts and Xeric Shrublands,"Steppe (semi-arid), and  Hot arid",187234.9781,0.177124538,,,,,9.37365409,,,,,126.0538922,217.3063907,187.3276977,506.7669567,,65.35343229,6.79225665,,,,,,,,1.52303537,2.582210971,0.005037626,0.00643858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.003280371,high
10342,1,1,1,Temperate Broadleaf and Mixed Forests,"Steppe (semi-arid), and  Cold arid",848686.3322,0.298824134,247943.2509,153801.7537,399033.6874,1270942.672,285.4961652,,,,,79586.73867,94914.47021,148904.9368,144596.9615,,,,,,,673.4442753,301.8557485,298.5732891,310.3040577,718.410213,736.409274,4.161367345,5.181726794,88,364790.187,461814.3723,502462.2856,512583.7961,0,0,0,0,0,0,0,0,0,available,0.032400878,low
1396,0,1,1,Tropical and Subtropical Moist Broadleaf Forests,Tropical savannah with dry winter,77045.30619,0.411047121,,,,,119.4302996,,,,,3982.273788,1932.909487,1607.880956,1776.043804,734.7765521,3044.738554,5562.659325,11.78175638,720.9379102,752.3464949,,,,,6.329892622,7.037604354,0.128116056,0.158004955,12,22984.62364,31805.69797,36185.0571,40621.31645,0,0,0,0,0,0,0,0,0,available,0.174700539,high
7806,0,1,1,Deserts and Xeric Shrublands,"Steppe (semi-arid), and  Hot arid",95907.40894,0.380869479,,,,,42.4414177,,,,,1357.54881,1727.580967,1988.545706,2318.902776,,,,,,,,,,,7.734065202,9.075087296,5.056903998,4.911542577,2,7606.302856,17123.12158,16949.83838,19819.95508,0,0,0,0,0,0,0,0,0,available,0.061733537,low
10664,0,1,1,Temperate Broadleaf and Mixed Forests,"Steppe (semi-arid), and  Cold arid",70275.18597,0.308781003,,,,,27.70420443,,,,,4602.741795,5489.191328,7020.581094,6816.066449,,,,,,,,,,,34.17980097,35.19640703,0.447740626,0.497036015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.050815363,low
1398,1,1,1,Tropical and Subtropical Moist Broadleaf Forests,Tropical savannah with dry winter,226383.3628,0.344483248,,,,,87.98113102,,,,,12254.14816,5875.149505,4776.99054,4858.61087,9915.851372,33785.36885,57821.18873,25.09792858,766.0895712,1192.149259,,,,,20.94908805,22.14298143,4.660514819,5.950803177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.081554199,high
6266,1,1,1,"Temperate Grasslands, Savannas, and Shrublands","Snow, fully humid, and  Warm summer",870276.4534,0.374846702,3596262.435,7914277.831,8071228.378,2916111.888,312.1616807,,661348.1944,216305.4199,53629.7,158573.5973,85582.95619,30985.88667,14458.37202,,6588.655058,2994.538642,,,,559.1793956,1002.891735,996.7076329,302.374209,599.4278442,267.5165364,1.462668755,1.057988154,106,452853.3621,473721.3654,442781.9743,398940.2506,0,0,0,0,0,0,0,0,0,available,0.103659974,high
1276,0,0,0,Tropical and Subtropical Moist Broadleaf Forests,Tropical savannah with dry winter,56078.23914,0.361849788,,,,,185.3314446,,,,,1666.122422,811.7600229,680.2965605,780.4830083,,,37.329806,9.960178251,778.748942,726.3802854,,,,,2.555517635,2.926238722,19.62049481,24.68438447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.085513977,high
2445,2,1,1,Temperate Broadleaf and Mixed Forests,"Mild temperate, fully humid, and  Warm summer",958696.3877,0.443953609,3994674.703,3944809.869,3163058.654,1734865.185,1209.713933,73953.77591,34895.33537,70092.05254,159723.4201,45269.74779,56684.08266,103847.2879,156165.0521,44510.68555,24263.77418,116488.066,,,2723.276087,497.5730939,373.1367095,204.7595611,51.88204695,240.8874939,241.0008774,4.565018932,3.465755493,170,470124.8854,507204.5521,553051.4321,581440.1447,0,0,0,0,0,0,0,0,0,available,0.375789753,high
6509,1,1,1,Deserts and Xeric Shrublands,"Desert (arid), and  Cold arid",288264.3962,0.257198448,,,,435271.136,22.73246781,,,,,358.2837788,427.2861835,572.0012977,555.4763325,,,,,,,,,,106.2725964,2.789870266,2.886581596,0.073058426,0.072837383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.013963498,low
4002,1,1,1,"Temperate Grasslands, Savannas, and Shrublands","Snow, fully humid, and  Hot summer",72405.79663,0.509740126,2099.430213,9460.165646,5384.296967,123232.197,17.46959534,,,,14998.25722,633.8721203,342.1042801,264.7607124,1055.174166,,41.95337369,632.7978169,,,,0.022316637,0.10055995,0.057290832,8.134008021,7.037928941,5.954340386,1.9881301,1.323422611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.580664078,high
399,0,0,0,Mangroves,Tropical monsoon,50097.47705,0.436426245,2.179464789,2.616512829,2.612544404,,0.009923933,5.674174173,41.56470382,65.29435871,,633.6855061,932.2110865,1104.544952,1099.441923,33.42741627,128.8868815,58.33779934,,,,0.005032082,0.035397729,0.055494502,,4.029094383,4.048526526,0.007450989,0.018529064,0,0,0,0,0,9,1.366205931,1.50952208,1.607260108,1.719642043,20000.13965,32404.84167,41020.87744,50097.47705,available,0.418379853,low
405,0,1,1,"Temperate Grasslands, Savannas, and Shrublands","Mild temperate, fully humid, and  Hot summer",94598.08414,0.51264374,,,,,9.124367349,,,,,9031.432132,10315.36503,8568.720036,8631.366855,8282.195639,16527.54029,11120.22594,,,773.1719875,,,,,39.07872453,35.71658038,1.944662314,1.362117237,11,6636.158783,8152.622482,9200.911247,9711.447563,0,0,0,0,0,0,0,0,0,available,0.764786818,high
441,0,0,0,Deserts and Xeric Shrublands,"Desert (arid), and  Hot arid",62680.71787,0.182552296,,,,,0.266013219,,,,,2843.9609,2544.727443,2061.738594,2628.354872,179.7507483,530.9835114,391.9733944,,,,,,,,7.717754485,9.754178806,0.458635829,0.639173103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0,high
12454,1,1,1,Tropical and Subtropical Moist Broadleaf Forests,Tropical rain forest,441553.9344,0.448939895,,73566.35069,135214.6026,952627.9242,319.7210787,,,,,7915.631619,11207.5801,14125.38389,17590.4795,1561.492878,19446.40514,24243.1994,,,,,0.871428641,1.555011174,10.79108864,57.8377424,73.2358792,4.423002757,5.394127554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,preliminary,0.285918034,high
2706,1,1,1,Temperate Coniferous Forests,"Mild temperate, fully humid, and  Hot summer",190608.777,0.382840847,3287.572617,28307.78155,23536.35957,614441.0645,48.12355811,68.98784537,46.93865514,802.2769841,31374.14293,8062.004356,8807.74982,9671.058531,21062.33101,594.550107,5328.923715,2812.670401,,,,0.874912394,5.024574849,1.193918063,23.15322285,210.6828612,77.21737169,6.176387832,6.348810283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.153657852,high
8892,0,0,0,Tropical and Subtropical Moist Broadleaf Forests,Tropical savannah with dry winter,50149.05847,0.496360992,,,,,46.5105978,,,,,3014.748659,3836.491849,3980.321473,4604.170303,273.0232061,504.42528,909.0328932,,,,,,,,15.48614461,18.03336465,9.063813758,9.947764674,10,24400.95004,45913.97925,50581.5686,48377.83667,0,0,0,0,0,0,0,0,0,available,0.463132032,low
5158,0,1,1,Montane Grasslands and Shrublands,"Mild temperate, fully humid, and  Warm summer",130429.4609,0.421183527,,,,,0.036886427,,,,,524.059818,769.3679823,979.9644231,1301.583581,,,,,,,,,,,3.62861617,4.824251644,0.144156773,0.241891108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.689533644,low
700,0,0,0,Temperate Broadleaf and Mixed Forests,"Snow, fully humid, and  Hot summer",73711.86137,0.514869807,,,,,40.58967474,,,,,7502.305164,8568.885306,8131.41779,8354.46035,4659.177771,11568.87336,7792.389701,,,531.0236967,,,,,36.98640498,34.4024356,14.03695573,11.22377697,48,29426.98797,31076.61699,32142.1372,35577.32813,0,0,0,0,0,0,0,0,0,available,0.844866794,high
1328,0,0,0,"Tropical and subtropical grasslands, savannas, and shrublands",Tropical savannah with dry winter,93699.1684,0.354993306,,,,,74.55556864,,,,,945.9897539,460.8990017,676.1983219,781.6346122,,,,5.582106865,372.1119062,372.7849703,,,,,2.540120476,2.930565036,0.673781708,0.935588684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,0.078677246,high
